p010101,p010107,p010110,p010350,p011642
2,57,4,911.0,50.0
1,30,5,232.0,85.0
1,47,5,311.0,75.0
2,36,5,311.0,230.0
1,28,7,120.0,110.0
2,24,6,143.0,95.0
1,27,7,132.0,85.0
1,26,6,262.0,120.0
2,28,8,152.0,120.0
2,26,7,263.0,69.0
2,44,2,911.0,60.0
2,49,4,911.0,100.0
2,22,7,311.0,134.0
1,28,5,313.0,100.0
1,26,5,512.0,100.0
2,43,4,415.0,30.0
2,26,7,315.0,60.0
1,25,6,821.0,100.0
1,25,5,512.0,130.0
1,70,3,911.0,50.0
2,35,4,753.0,85.0
1,22,4,913.0,100.0
1,42,7,315.0,300.0
2,39,5,315.0,50.0
1,33,6,512.0,120.0
1,27,4,281.0,200.0
2,28,4,512.0,100.0
1,34,5,753.0,200.0
2,34,3,753.0,80.0
2,26,6,322.0,70.0
2,24,6,182.0,70.0
2,38,5,512.0,100.0
1,66,7,912.0,80.0
1,34,7,261.0,250.0
1,26,7,314.0,68.0
1,34,8,132.0,183.0
2,30,7,143.0,120.0
2,42,7,422.0,90.0
2,39,5,152.0,190.0
2,29,7,182.0,130.0
1,39,5,262.0,176.0
1,68,5,753.0,100.0
1,61,4,912.0,80.0
2,62,3,911.0,50.0
2,25,5,311.0,80.0
2,31,5,513.0,35.0
1,32,5,731.0,100.0
2,25,5,143.0,90.0
1,56,5,842.0,118.0
2,22,6,241.0,60.0
2,41,5,512.0,80.0
2,26,7,143.0,100.0
1,42,5,714.0,170.0
2,31,5,753.0,100.0
1,44,5,511.0,150.0
1,32,7,282.0,150.0
1,49,7,23.0,300.0
1,53,5,314.0,100.0
2,47,5,512.0,200.0
2,54,3,911.0,60.0
2,33,4,743.0,100.0
1,64,4,825.0,150.0
1,39,4,714.0,100.0
1,47,5,842.0,90.0
1,56,4,714.0,100.0
2,52,3,422.0,100.0
1,26,5,512.0,100.0
1,40,4,825.0,110.0
2,39,3,422.0,85.0
1,40,8,152.0,150.0
2,37,6,143.0,90.0
1,44,8,173.0,150.0
2,42,8,151.0,100.0
2,26,7,183.0,120.0
1,26,7,316.0,120.0
1,30,5,842.0,100.0
1,32,5,262.0,120.0
1,26,6,120.0,100.0
2,24,6,315.0,100.0
1,42,7,183.0,160.0
1,43,5,316.0,160.0
2,31,7,141.0,180.0
1,40,5,183.0,100.0
1,32,6,183.0,100.0
1,46,3,712.0,30.0
2,39,5,913.0,60.0
2,37,3,753.0,50.0
2,26,6,315.0,80.0
1,46,4,712.0,90.0
2,61,3,911.0,38.0
1,31,5,842.0,150.0
1,43,4,842.0,130.0
2,28,7,317.0,80.0
2,42,5,512.0,70.0
2,41,5,321.0,50.0
1,29,7,315.0,90.0
2,22,6,317.0,82.0
2,45,4,913.0,150.0
2,20,7,512.0,50.0
1,39,5,712.0,200.0
1,25,4,312.0,85.0
1,28,6,311.0,90.0
1,28,7,312.0,120.0
1,28,5,733.0,130.0
2,42,5,826.0,70.0
1,28,5,713.0,110.0
2,23,7,153.0,100.0
1,29,8,292.0,250.0
2,25,5,512.0,110.0
2,22,5,183.0,73.0
1,30,7,313.0,100.0
2,53,2,911.0,30.0
2,28,5,183.0,50.0
1,51,5,313.0,180.0
2,49,5,513.0,250.0
1,54,3,713.0,50.0
2,27,5,512.0,60.0
2,25,5,315.0,70.0
2,22,5,315.0,60.0
1,41,5,841.0,130.0
1,45,5,261.0,300.0
1,49,7,261.0,180.0
2,41,5,415.0,50.0
2,28,5,753.0,100.0
1,49,4,842.0,30.0
2,27,5,156.0,70.0
1,34,4,752.0,150.0
2,23,5,512.0,80.0
2,39,3,513.0,40.0
1,35,3,753.0,80.0
1,32,3,753.0,65.0
2,47,4,421.0,70.0
2,19,5,422.0,48.0
2,49,3,911.0,80.0
1,50,4,914.0,90.0
2,46,3,913.0,45.0
2,22,7,315.0,80.0
2,20,5,512.0,70.0
1,32,5,842.0,45.0
1,44,7,152.0,190.0
2,34,7,252.0,30.0
1,27,6,132.0,75.0
1,46,5,311.0,200.0
1,38,5,714.0,50.0
1,53,7,842.0,70.0
1,19,5,421.0,100.0
2,26,5,753.0,65.0
2,32,5,753.0,40.0
1,51,7,826.0,120.0
1,47,5,913.0,70.0
2,19,5,315.0,60.0
1,32,7,262.0,300.0
2,29,7,511.0,71.0
1,56,8,23.0,300.0
1,48,5,712.0,100.0
1,49,5,842.0,118.0
2,25,7,252.0,100.0
1,35,7,441.0,140.0
1,42,5,444.0,106.0
1,56,3,712.0,100.0
1,30,4,235.0,103.0
2,29,5,422.0,70.0
1,44,3,913.0,70.0
2,55,3,513.0,50.0
1,60,3,914.0,60.0
1,55,4,913.0,50.0
1,31,5,712.0,60.0
1,72,7,30.0,165.0
1,63,3,912.0,60.0
2,23,6,311.0,74.0
1,32,7,23.0,200.0
2,28,7,311.0,130.0
1,37,5,312.0,190.0
1,66,4,311.0,80.0
1,45,8,132.0,190.0
1,59,5,314.0,100.0
2,58,5,421.0,60.0
1,18,5,422.0,60.0
2,38,5,512.0,70.0
1,53,3,712.0,30.0
1,24,5,753.0,100.0
1,33,5,262.0,120.0
1,34,5,753.0,100.0
1,30,5,312.0,95.0
1,44,7,712.0,30.0
1,41,5,131.0,150.0
1,50,7,30.0,400.0
2,33,5,312.0,90.0
2,25,7,314.0,125.0
1,26,7,262.0,80.0
2,38,4,513.0,70.0
1,31,7,513.0,90.0
2,25,7,252.0,100.0
1,56,4,912.0,65.0
1,36,5,829.0,100.0
1,41,5,311.0,100.0
1,45,6,733.0,170.0
2,47,4,513.0,55.0
1,33,7,316.0,100.0
1,58,3,920.0,45.0
2,50,3,421.0,50.0
1,47,4,712.0,90.0
2,39,4,753.0,70.0
1,55,4,753.0,100.0
2,50,3,753.0,60.0
1,30,6,132.0,95.0
1,41,4,262.0,150.0
1,37,7,829.0,140.0
1,41,4,731.0,130.0
1,36,4,721.0,100.0
2,35,3,753.0,30.0
2,32,4,753.0,30.0
2,21,7,316.0,60.0
1,34,4,713.0,180.0
1,25,5,312.0,40.0
2,23,6,156.0,50.0
2,45,4,911.0,80.0
1,33,7,23.0,150.0
2,29,7,318.0,95.0
1,39,7,316.0,120.0
1,38,8,513.0,120.0
1,34,7,315.0,200.0
1,42,7,237.0,200.0
2,55,3,753.0,100.0
1,31,7,315.0,180.0
1,56,5,825.0,180.0
1,28,5,314.0,150.0
1,26,4,930.0,100.0
1,25,7,252.0,80.0
1,33,6,253.0,90.0
1,28,6,315.0,50.0
1,56,3,941.0,100.0
1,42,4,741.0,150.0
2,42,4,911.0,30.0
1,39,4,712.0,100.0
2,58,3,513.0,150.0
2,74,2,914.0,20.0
2,38,7,252.0,70.0
2,61,3,911.0,60.0
2,36,4,911.0,35.0
1,53,7,30.0,165.0
2,45,5,317.0,50.0
2,28,5,143.0,80.0
1,25,5,512.0,120.0
1,59,5,713.0,20.0
1,64,5,842.0,149.0
1,38,5,713.0,60.0
2,35,3,753.0,60.0
1,23,5,316.0,90.0
1,49,3,941.0,35.0
2,43,3,911.0,80.0
2,19,5,311.0,65.0
1,31,5,312.0,140.0
2,30,5,321.0,73.0
1,28,5,441.0,145.0
2,27,5,315.0,70.0
1,38,5,311.0,100.0
2,60,2,421.0,75.0
2,41,4,753.0,100.0
1,30,4,753.0,140.0
1,24,5,316.0,90.0
1,48,5,712.0,140.0
2,46,4,753.0,100.0
1,23,5,941.0,80.0
1,42,3,754.0,50.0
1,65,3,912.0,50.0
2,36,5,753.0,80.0
1,37,5,713.0,80.0
2,41,4,753.0,80.0
1,27,5,733.0,70.0
1,27,5,913.0,120.0
2,40,5,422.0,45.0
1,32,5,753.0,130.0
1,51,7,151.0,385.0
1,56,4,911.0,77.0
2,23,6,157.0,60.0
