구코드,구항목명,신코드,신항목명
0 ,"의회의원, 고위임직원 및 관리자",,
01,의회의원 및 고위임원,,
011,의회의원,111,의회의원․고위공무원 및 공공단체임원
012,"정부 고위공무원, 의회의원 제외",111,의회의원․고위공무원 및 공공단체임원
013,특수이익단체 고위임원,111,의회의원․고위공무원 및 공공단체임원
02,행정 및 경영관리자,,
021,기업 고위임원,111,의회의원․고위공무원 및 공공단체임원
,,112,기업고위임원
022,정부행정부서 관리자,120,행정 및 경영지원 관리자
,,131,연구․교육 및 법률 관련 관리자
023,생산 및 운영부서 관리자,120,행정 및 경영지원 관리자
,,131,연구․교육 및 법률 관련 관리자
,,132,보험 및 금융 관리자
,,133,보건 및 사회복지 관련 관리자
,,134,문화․예술․디자인 및 영상 관련 관리자
,,135,정보통신관련 관리자
,,139,기타 전문서비스 관리자
,,141,건설․전기 및 생산 관련 관리자
,,149,기타 건설․전기 및 생산관련 관리자
,,151,판매 및 운송 관리자
,,152,고객서비스 관리자
,,153,환경․청소 및 경비 관련 관리자
,,159,기타 판매 및 고객 서비스 관리자
024,기타부서 관리자,120,행정 및 경영지원 관리자
,,135,정보통신관련 관리자
,,139,기타 전문서비스 관리자
,,151,판매 및 운송 관리자
03,일반관리자,,
030,일반관리자,120,행정 및 경영지원 관리자
,,131,연구․교육 및 법률 관련 관리자
,,132,보험 및 금융 관리자
,,133,보건 및 사회복지 관련 관리자
,,134,문화․예술․디자인 및 영상 관련 관리자
,,135,정보통신관련 관리자
,,139,기타 전문서비스 관리자
,,141,건설․전기 및 생산 관련 관리자
,,149,기타 건설․전기 및 생산관련 관리자
,,151,판매 및 운송 관리자
,,152,고객서비스 관리자
,,153,환경․청소 및 경비 관련 관리자
,,159,기타 판매 및 고객 서비스 관리자
1,전문가,,
11 ,과학 전문가,,
111,자연과학 전문가,211,생명 및 자연 과학 관련 전문가
112,생명과학 전문가,211,생명 및 자연 과학 관련 전문가
113,사회과학 전문가,211,생명 및 자연 과학 관련 전문가
,,212,인문 및 사회 과학 전문가
12 ,컴퓨터관련 전문가,,
120,컴퓨터관련 전문가,221,컴퓨터 하드웨어 및 통신공학 전문가
,,222,정보시스템 개발 전문가
,,223,정보 시스템 운영자
,,285,디자이너
13 ,공학 전문가,,
131,건축 및 토목공학 전문가,231,건축 및 토목 공학 기술자 및 시험원
132,전기․전자 및 기계공학 전문가 ,221,컴퓨터 하드웨어 및 통신공학 전문가
,,235,전기․전자 및 기계 공학 기술자 및 시험원
133,화학 및 금속공학 전문가,232,화학공학 기술자 및 시험원
,,233,금속․재료 공학 기술자 및 시험원
,,239,기타 공학 전문가 및 관련 종사자
134,측량 전문가,231,건축 및 토목 공학 기술자 및 시험원
135,기타 공학 전문가,231,건축 및 토목 공학 기술자 및 시험원
,,233,금속․재료 공학 기술자 및 시험원
,,234,환경공학 기술자 및 시험원
,,236,안전관리 및 검사원
,,239,기타 공학 전문가 및 관련 종사자
14 ,보건의료 전문가,,
141,"의료진료 전문가, 간호 제외",241,의료진료 전문가
142,약사 및 한약사,242,약사 및 한약사
143,간호 및 조산 전문가,243,간호사
144,치료 전문가,245,치료사 및 의료기사
145,영양 전문가,244,영양사
15 ,교육 전문가,,
151,대학교수,251,대학 교수 및 강사
152,중등학교 교사,252,학교 교사
153,초등학교 교사,252,학교 교사
154,유치원 교사,253,유치원 교사
155,특수학교 교사,252,학교 교사
156,정규학교 이외 교육기관 전문가 ,254,문리․기술 및 예능 강사
157,기타 교육 전문가,259,기타 교육 전문가
16 ,"행정, 경영 및 재정 전문가",,
161,행정 전문가,262,행정 전문가
,,271,인사 및 경영 전문가
162,회계 관련 전문가,271,인사 및 경영 전문가
,,272,금융 및 보험 전문가
163,인사 및 노사관계 전문가,271,인사 및 경영 전문가
164,금융․보험 전문가,272,금융 및 보험 전문가
165,사업서비스 관련 전문가,271,인사 및 경영 전문가
,,272,금융 및 보험 전문가
,,273,상품기획․홍보 및 조사 전문가
17 ,"법률, 사회서비스 및 종교 전문가 ",,
171,법률 전문가,261,법률 전문가
172,사회서비스 전문가,212,인문 및 사회 과학 전문가
,,247,사회복지관련 종사자
173,종교 전문가,248,종교관련 종사자
18 ,"문화, 예술 및 방송관련 전문가",,
181,"기록 보관원, 사서 및 관련 전문가 ",282,큐레이터․사서 및 기록물관리사
182,작가 및 관련 전문가,281,작가․기자 및 출판 전문가
183,창작 및 공연예술가,284,화가․사진가 및 공연예술가
,,285,디자이너
184,"영화, 연극 및 방송관련 전문가",283,연극․영화 및 영상 전문가
2 ,기술공 및 준전문가,,
21 ,과학관련 기술종사자,,
211,자연과학관련 기술종사자,213,생명 및 자연 과학 관련 시험원
,,232,화학공학 기술자 및 시험원
212,생명과학관련 기술종사자,213,생명 및 자연 과학 관련 시험원
213,사회과학관련 종사자,212,인문 및 사회 과학 전문가
22 ,컴퓨터관련 준전문가,,
220,컴퓨터관련 준전문가,223,정보 시스템 운영자
,,235,전기․전자 및 기계 공학 기술자 및 시험원
23 ,공학관련 기술종사자,,
231,건축 및 토목공학 기술종사자 ,231,건축 및 토목 공학 기술자 및 시험원
232,전기․전자 및 기계공학 기술종사자,221,컴퓨터 하드웨어 및 통신공학 전문가
,,222,정보시스템 개발 전문가
,,224,통신 및 방송송출 장비 기사
,,235,전기․전자 및 기계 공학 기술자 및 시험원
233,화학 및 금속공학 기술종사자,232,화학공학 기술자 및 시험원
,,233,금속․재료 공학 기술자 및 시험원
,,235,전기․전자 및 기계 공학 기술자 및 시험원
