신코드,신항목명,구코드,구항목명
1,관리자,,
11,공공 및 기업 고위직,,
111,의회의원․고위공무원 및 공공단체임원,011,의회의원
,,012,"정부 고위공무원, 의회의원 제외"
,,013,특수이익단체 고위임원
,,021,기업 고위임원
112,기업고위임원,021,기업 고위임원
12,행정 및 경영지원 관리직,,
120,행정 및 경영지원 관리자,022,정부행정부서 관리자
,,023,생산 및 운영부서 관리자
,,024,기타부서 관리자
,,291,관리 준전문가
,,030,일반관리자
13,전문서비스 관리직,,
131,연구.교육 및 법률 관련 관리자,022,정부행정부서 관리자
,,023,생산 및 운영부서 관리자
,,030,일반관리자
132,보험 및 금융 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
133,보건 및 사회복지 관련 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
134,문화․예술․디자인 및 영상 관련 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
135,정보통신관련 관리자,023,생산 및 운영부서 관리자
,,024,기타부서 관리자
,,030,일반관리자
139,기타 전문서비스 관리자,023,생산 및 운영부서 관리자
,,024,기타부서 관리자
,,030,일반관리자
14,건설․전기 및 생산 관련 관리직,,
141,건설․전기 및 생산 관련 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
149,기타 건설․전기 및 생산관련 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
15,판매 및 고객서비스 관리직,,
151,판매 및 운송 관리자,023,생산 및 운영부서 관리자
,,024,기타부서 관리자
,,030,일반관리자
152,고객서비스 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
153,환경․청소 및 경비 관련 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
159,기타 판매 및 고객 서비스 관리자,023,생산 및 운영부서 관리자
,,030,일반관리자
2,전문가 및 관련 종사자,,
21,과학 전문가 및 관련직,,
211,생명 및 자연 과학 관련 전문가,111,자연과학 전문가
,,112,생명과학 전문가
,,113,사회과학 전문가
212,인문 및 사회 과학 전문가,113,사회과학 전문가
,,172,사회서비스 전문가
,,213,사회과학관련 종사자
213,생명 및 자연 과학 관련 시험원,211,자연과학관련 기술종사자
,,212,생명과학관련 기술종사자
22,정보통신 전문가 및 기술직,,
221,컴퓨터 하드웨어 및 통신공학 전문가,120,컴퓨터관련 전문가
,,132,전기․전자 및 기계공학 전문가 
,,232,전기․전자 및 기계공학 기술종사자
222,정보시스템 개발 전문가,120,컴퓨터관련 전문가
,,232,전기․전자 및 기계공학 기술종사자
223,정보 시스템 운영자,120,컴퓨터관련 전문가
,,220,컴퓨터관련 준전문가
224,통신 및 방송송출 장비 기사,232,전기․전자 및 기계공학 기술종사자
,,235,광학 및 전자장비 기술종사자 
23,공학 전문가 및 기술직,,
231,건축 및 토목 공학 기술자 및 시험원,131,건축 및 토목공학 전문가
,,134,측량 전문가
,,135,기타 공학 전문가
,,231,건축 및 토목공학 기술종사자 
,,237,안전 및 품질검사 종사자
,,238,기타 공학관련 기술종사자
232,화학공학 기술자 및 시험원,133,화학 및 금속공학 전문가
,,211,자연과학관련 기술종사자
,,233,화학 및 금속공학 기술종사자
,,237,안전 및 품질검사 종사자
233,금속․재료 공학 기술자 및 시험원,133,화학 및 금속공학 전문가
,,135,기타 공학 전문가
,,233,화학 및 금속공학 기술종사자
,,237,안전 및 품질검사 종사자
,,238,기타 공학관련 기술종사자
234,환경공학 기술자 및 시험원,135,기타 공학 전문가
,,237,안전 및 품질검사 종사자
,,238,기타 공학관련 기술종사자
