code,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
911,30.00,21.54,,,,,,,,,,,,,,,,,,,-9.09,,,,
911,-16.67,-40.00,100.00,66.67,-50.00,20.00,,,-20.00,0.00,0.00,25.00,0.00,,,,,,,,,,,,
911,-20.00,,,,,,,,,,,,,,,,,,,,,,,,
911,71.43,0.00,33.33,,,,,,,,,,,,,,,,,,,,,,
911,-25.00,,,,,,,,,,,,,,,,,,,,,,,,
911,-50.00,25.00,,,,,,,,,,,,,,,,,,,,,,,
911,-32.43,50.00,-20.00,25.00,-6.67,,,-13.33,0.00,0.00,15.38,,,,,,,,,,12.50,0.00,0.00,5.56,15.79
911,5.26,-25.00,50.00,,,,,,,,,,,,,,,,,,,,,,
911,,,,0.00,5.00,,,,,,,,,,,,,,,,,,,,
911,56.25,,,,,,,,,,,,,,,,,,,,,,,,
911,150.00,0.00,,,,,,,,,,,,,,,,,,0.00,35.00,0.00,0.00,0.00,0.00
911,16.67,,,,,,,,,,,,,,,,,,,,,,,,
911,11.11,,,,,,,,,,,,,,,,,,,,,,,,
911,0.00,,,,,,,,,,,,,,,,,,,,,,,,
911,-13.33,0.00,0.00,0.00,10.77,2.78,,,,,,,,,,,,,,,,,,,
911,-25.00,25.00,,,,,,,,,,,,,,,,,,,,,,,
911,31.43,10.87,,,,0.00,,,,,,,,,,,,0.00,10.00,22.73,,,,,
911,-12.50,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00
911,66.67,,,,,,,,,,,,,,,,,,,,,,,0.00,
911,,,,,,,,,,,,,,,-40.00,16.67,-42.86,50.00,,,,,,0.00,
911,,,,-7.41,4.00,,,,,,,,,,,,,,,,,,,,
911,28.57,6.67,-16.67,50.00,,,,,,,,,,,,,,,,,,,,,
911,70.00,,,,14.29,,,,,,,,,,,,,,,,,,,,
911,-14.29,0.00,,,,,,,,,,,,,,,,,,,,,,,
911,20.00,,,,,,,,,,,,,,,,,,,,,,,,
911,-50.00,133.33,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
911,25.00,,,,,,,,,,,,,,,,,,,,,,,,
911,-33.33,,,,,,,,,,,4.48,0.00,7.14,6.67,,,,,,,,,,
911,200.00,-33.33,,,28.57,-11.11,0.00,-12.50,28.57,-11.11,12.50,0.00,11.11,,,,,,,,,,,,
911,,,,,,,30.00,0.00,0.00,,,,,,,,,,,,,,,,
911,16.28,0.00,20.00,16.67,4.29,9.59,,,,,,0.00,10.00,0.00,0.00,25.45,0.72,,,,3.70,-80.71,0.00,0.00,0.00
911,-12.50,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,0.00
911,-11.11,,,,,,,,,,,,,,,,,,,,,,,,
911,-20.00,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,0.00,0.00,0.00,0.00,50.00,-33.33,50.00,66.67,0.00,-40.00,66.67,-60.00,150.00,-40.00,-16.67,20.00,-33.33,50.00,33.33,,
