구분,문항 번호,질문 내용,변수명
개인,Q1-1,성별은 무엇입니까?,p01sex
개인,Q1-2,생년은 어떻게 되십니까?,p01birthy
개인,Q1-3,현재 배우자가 있으십니까?,p01marsta
개인,Q1-4,귀하의 최종 학력은?,p01educlv
개인,Q1-5,졸업하신 학교는 어디입니까?,p01edusch
개인,Q1-6,현재의 직업은 무엇입니까?,p01job
개인,Q1-7,근로 형태는 어떠합니까?,p01wrktyp
개인,Q1-8,현재 직장의 근속 연수는?,p01wrkyear
개인,Q1-9,직장에서의 월 소득은?,p01income
개인,Q1-10,직무 만족도는 어떠합니까?,p01jobsat
개인,Q2-1,주당 평균 근무시간은?,p02workhr
개인,Q2-2,고용형태는 무엇입니까?,p02empstat
개인,Q2-3,직장 규모는 얼마입니까?,p02co_size
개인,Q2-4,산업 분류는?,p02indust
개인,Q2-5,직무 유형은?,p02duties
개인,Q2-6,통근 수단은?,p02commut
가구,QH1-1,가구주 성별은?,h01sex
가구,QH1-2,가구주 연령은?,h01birthy
가구,QH1-3,가구주 교육수준은?,h01educlv
가구,QH2-1,가구 총소득은 얼마입니까?,h01famtot
가구,QH2-2,가구 총지출은 얼마입니까?,h01famexp
가구,QH2-3,주거형태는 무엇입니까?,h01house
가구,QH2-4,주택 소유 여부는?,h01houseow
가구,QH2-5,주택 규모는 얼마입니까?,h01houarea
가구,QH3-1,차량 보유 여부는?,h01carow
가구,QH3-2,차량 수는 몇 대입니까?,h01carcnt
가구,QH3-3,차량 연식은?,h01caryear
가구,QH4-1,가구 부채는 얼마입니까?,h01debt
가구,QH4-2,가구 자산은 얼마입니까?,h01asset
가구,QH4-3,가구 순자산은 얼마입니까?,h01netasset
개인,Q2-7,직장에서의 복리후생 만족도는?,p02benefit
개인,Q2-8,근로계약서 작성 여부는?,p02contract
개인,Q2-9,사회보험 가입 여부는?,p02insure
개인,Q2-10,퇴직금 수령 여부는?,p02retirepay
개인,Q2-11,노동조합 가입 여부는?,p02union
개인,Q3-1,과거 1년간 이직 경험이 있습니까?,p03jobchange
개인,Q3-2,이직 사유는 무엇입니까?,p03reason
개인,Q3-3,직장 구직 경로는?,p03seekway
개인,Q3-4,현재 구직 중입니까?,p03seeking
개인,Q3-5,희망 직종은?,p03wishjob
개인,Q3-6,희망 근무형태는?,p03wishform
개인,Q3-7,희망 근무지역은?,p03wishloc
개인,Q3-8,희망 임금 수준은?,p03wishpay
개인,Q3-9,구직활동 기간은?,p03seekdur
개인,Q4-1,현재 교육 중입니까?,p04study
개인,Q4-2,교육 목적은 무엇입니까?,p04purpose
개인,Q4-3,교육 기관은 어디입니까?,p04org
개인,Q4-4,교육 내용은 무엇입니까?,p04content
개인,Q4-5,교육 비용은 얼마입니까?,p04cost
개인,Q4-6,교육 시간은 얼마나 됩니까?,p04time
개인,Q4-7,교육 만족도는?,p04satisfy
개인,Q5-1,자영업 여부는?,p05selfemp
개인,Q5-2,사업체 업종은?,p05biztype
개인,Q5-3,사업체 규모는?,p05bizsize
개인,Q5-4,사업 개시 시점은?,p05bizstart
개인,Q5-5,사업체 위치는?,p05bizloc
개인,Q5-6,종업원 수는?,p05employee
개인,Q5-7,사업 수익은?,p05income
개인,Q5-8,창업 자금은 어떻게 조달했습니까?,p05fund
개인,Q5-9,창업시 가장 어려웠던 점은?,p05difficulty
개인,Q5-10,향후 사업계획은?,p05plan
개인,Q6-1,가족 구성은 어떻게 되십니까?,p06famcomp
개인,Q6-2,가족 중 부양이 필요한 인원이 있습니까?,p06carefam
개인,Q6-3,가족의 경제활동 참여 여부는?,p06famwork
개인,Q6-4,가족 돌봄 시간은 얼마나 됩니까?,p06caretime
개인,Q6-5,가사 분담은 어떻게 이루어집니까?,p06housework
개인,Q6-6,자녀 교육비 지출은 얼마입니까?,p06eduexp
개인,Q6-7,부양 부담으로 인한 어려움은?,p06burden
개인,Q7-1,건강 상태는 어떠합니까?,p07health
개인,Q7-2,만성 질환이 있으십니까?,p07chronic
개인,Q7-3,최근 1년 내 병원 이용 여부는?,p07hospital
개인,Q7-4,의료비 지출은 얼마입니까?,p07medcost
개인,Q7-5,건강검진 수검 여부는?,p07checkup
개인,Q7-6,정신 건강 상태는?,p07mental
개인,Q7-7,스트레스 수준은?,p07stress
개인,Q8-1,주거 만족도는?,p08housing
개인,Q8-2,이사 계획이 있으십니까?,p08moveplan
개인,Q8-3,현재 주거형태는?,p08curhouse
개인,Q8-4,주거비 부담은?,p08housecost
개인,Q8-5,주택 보유 여부는?,p08houseown
개인,Q8-6,전세/월세 여부는?,p08lease
개인,Q9-1,사회적 관계 만족도는?,p09social
개인,Q9-2,가까운 친구 수는?,p09friends
개인,Q9-3,이웃과의 관계는?,p09neighbor
개인,Q9-4,지역사회 참여 여부는?,p09community
개인,Q9-5,종교 모임 참여 여부는?,p09religion
개인,Q9-6,여가 활동 참여 빈도는?,p09leisure
개인,Q9-7,여가 활동 종류는?,p09leisurelvl
개인,Q9-8,여가비 지출은?,p09leisurespend
개인,Q9-9,가장 선호하는 여가 활동은?,p09leisurefav
개인,Q9-10,여가 활동 개선 희망 사항은?,p09leisurewish
개인,Q10-1,최근 정치 참여 경험이 있습니까?,p10politics
개인,Q10-2,투표 참여 여부는?,p10vote
개인,Q10-3,정당 가입 여부는?,p10party
개인,Q10-4,시민단체 활동 여부는?,p10civic
개인,Q10-5,시사에 대한 관심도는?,p10interest
개인,Q11-1,인터넷 사용 빈도는?,p11netfreq
개인,Q11-2,주요 인터넷 이용 목적은?,p11netpurpose
개인,Q11-3,SNS 이용 여부는?,p11sns
개인,Q11-4,온라인 쇼핑 이용 여부는?,p11shopping
개인,Q11-5,인터넷 정보 신뢰도는?,p11trust
개인,Q12-1,삶에 대한 전반적인 만족도는?,p12lifesat
개인,Q12-2,미래에 대한 기대 수준은?,p12future
개인,Q12-3,개인의 삶에서 중요하게 생각하는 가치는?,p12value
개인,Q12-4,현재 생활에서 가장 어려운 점은?,p12difficulty
개인,Q12-5,정부 정책에 대한 만족도는?,p12govsat
개인,Q13-1,최근 1년간 범죄 피해 경험이 있습니까?,p13crime
개인,Q13-2,범죄에 대한 불안 수준은?,p13fear
개인,Q13-3,야간 외출 시 불안감은?,p13nightout
개인,Q13-4,경찰의 대응 만족도는?,p13police
개인,Q13-5,치안 서비스 개선이 필요하다고 생각하십니까?,p13improve
개인,Q14-1,기후변화에 대한 우려 수준은?,p14climate
개인,Q14-2,친환경 제품 사용 여부는?,p14eco
개인,Q14-3,재활용 실천 여부는?,p14recycle
개인,Q14-4,대중교통 이용 빈도는?,p14trans
개인,Q14-5,환경 보호 참여 활동은?,p14activity
개인,Q15-1,최근 1년간 이사 경험이 있습니까?,p15move
개인,Q15-2,이사 사유는 무엇입니까?,p15reason
개인,Q15-3,이사 후 만족도는?,p15satisfy
개인,Q15-4,현재 거주지 선택 이유는?,p15select
개인,Q15-5,향후 거주지 변경 계획은?,p15future
개인,Q16-1,해외여행 경험이 있으십니까?,p16travel
개인,Q16-2,최근 해외여행 목적은?,p16purpose
개인,Q16-3,여행 경비는 얼마였습니까?,p16cost
개인,Q16-4,여행 횟수는 몇 회입니까?,p16count
개인,Q16-5,여행 만족도는?,p16satisfy
개인,Q17-1,최근 1년간 봉사활동 참여 여부는?,p17volunteer
개인,Q17-2,봉사활동 빈도는?,p17freq
개인,Q17-3,봉사활동 내용은 무엇입니까?,p17content
개인,Q17-4,봉사활동 기관은 어디입니까?,p17org
개인,Q17-5,봉사활동 참여 동기는?,p17motivation
개인,Q18-1,금융 상품 가입 여부는?,p18finance
개인,Q18-2,가장 많이 이용하는 금융기관은?,p18bank
개인,Q18-3,금융교육 수강 경험이 있습니까?,p18edu
개인,Q18-4,금융이해력 수준은?,p18understand
개인,Q18-5,금융사기 경험이 있습니까?,p18fraud
개인,Q19-1,스마트폰 보유 여부는?,p19smart
개인,Q19-2,스마트폰 주 이용 목적은?,p19purpose
개인,Q19-3,앱 설치 개수는?,p19apps
개인,Q19-4,앱 이용 시간은?,p19time
개인,Q19-5,스마트폰 의존도는?,p19depend
개인,Q20-1,1년간 독서량은?,p20read
개인,Q20-2,독서 시간은 주로 언제입니까?,p20time
개인,Q20-3,선호하는 도서 분야는?,p20genre
개인,Q20-4,전자책 이용 여부는?,p20ebook
개인,Q20-5,독서의 주된 목적은?,p20goal
개인,Q21-1,문화생활 참여 빈도는?,p21culture
개인,Q21-2,문화활동 비용은?,p21cost
개인,Q21-3,선호하는 문화활동은?,p21type
개인,Q21-4,문화시설 접근성은?,p21access
개인,Q21-5,문화활동 만족도는?,p21satisfy
개인,Q22-1,최근 1년간 교육강좌 참여 여부는?,p22edu
개인,Q22-2,참여한 교육강좌 수는?,p22edunum
개인,Q22-3,교육강좌 주제는 무엇입니까?,p22edutopic
개인,Q22-4,교육강좌 주최 기관은?,p22eduorg
개인,Q22-5,교육강좌 만족도는?,p22edusat
개인,Q23-1,비대면 활동 참여 경험이 있습니까?,p23online
개인,Q23-2,참여한 비대면 활동 종류는?,p23onlinetype
개인,Q23-3,비대면 활동 참여 빈도는?,p23onlinefreq
개인,Q23-4,비대면 활동 이용 기기 종류는?,p23device
개인,Q23-5,비대면 활동 만족도는?,p23sat
개인,Q24-1,1년 내 이직 계획이 있으십니까?,p24jobplan
개인,Q24-2,이직 계획 이유는 무엇입니까?,p24jobreason
개인,Q24-3,이직 시 고려사항은?,p24jobfactor
개인,Q24-4,이직 준비 상태는?,p24jobready
개인,Q24-5,이직 활동 경로는?,p24jobpath
개인,Q25-1,1년 내 결혼 계획이 있으십니까?,p25marryplan
개인,Q25-2,결혼 계획 이유는?,p25marrywhy
개인,Q25-3,결혼을 미루는 이유는?,p25marrydelay
개인,Q25-4,배우자 조건 중 가장 중요한 요소는?,p25marrycond
개인,Q25-5,결혼 관련 정보 획득 경로는?,p25marryinfo
개인,Q26-1,1년 내 출산 계획이 있으십니까?,p26birthplan
개인,Q26-2,출산 계획 이유는?,p26birthwhy
개인,Q26-3,출산을 미루는 이유는?,p26birthdelay
개인,Q26-4,자녀 수 계획은?,p26birthnum
개인,Q26-5,출산 관련 정보 획득 경로는?,p26birthinfo
개인,Q27-1,1년 내 이사 계획이 있으십니까?,p27moveplan
개인,Q27-2,이사 계획 이유는?,p27movereason
개인,Q27-3,이사 예정 지역은?,p27moveloc
개인,Q27-4,이사 고려 요소는?,p27movefactor
개인,Q27-5,이사 계획 정보 획득 경로는?,p27moveinfo
개인,Q28-1,코로나19로 인한 생활 변화는 있었습니까?,p28covidimpact
개인,Q28-2,코로나 이후 근무 형태 변화는?,p28workchange
개인,Q28-3,코로나 이후 소득 변화는?,p28incomechange
개인,Q28-4,건강관리 습관 변화는?,p28healthchange
개인,Q28-5,비대면 소비 경험은?,p28nonfacebuy
개인,Q29-1,1주일 평균 운동 시간은?,p29exercise
개인,Q29-2,운동 장소는 주로 어디입니까?,p29place
개인,Q29-3,운동 종류는 무엇입니까?,p29type
개인,Q29-4,운동 이유는 무엇입니까?,p29reason
개인,Q29-5,운동 시 어려움은?,p29obstacle
개인,Q30-1,디지털 기기 사용 능력은?,p30digitalskill
개인,Q30-2,디지털 기기 학습 방법은?,p30learnway
개인,Q30-3,디지털 서비스 접근성은?,p30access
개인,Q30-4,디지털 기기 사용 시간은?,p30usetime
개인,Q30-5,디지털 격차 체감 여부는?,p30gapfeel
개인,Q31-1,최근 1년간 취미생활 변화는?,p31hobbychange
개인,Q31-2,취미활동 참여 빈도는?,p31hobbyfreq
개인,Q31-3,선호하는 취미 활동은?,p31hobbytype
개인,Q31-4,취미 활동 장소는?,p31hobbyplace
개인,Q31-5,취미활동의 만족도는?,p31hobbysat
개인,Q32-1,친환경 소비 실천 여부는?,p32ecoact
개인,Q32-2,친환경 소비 실천 이유는?,p32ecowhy
개인,Q32-3,친환경 제품 구매 기준은?,p32ecocrit
개인,Q32-4,친환경 정보 획득 경로는?,p32ecoinfo
개인,Q32-5,친환경 제품 가격에 대한 인식은?,p32ecoprice
개인,Q33-1,에너지 절약 실천 여부는?,p33energy
개인,Q33-2,절약하는 에너지 종류는?,p33type
개인,Q33-3,에너지 절약 이유는?,p33reason
개인,Q33-4,절약 방법은 무엇입니까?,p33method
개인,Q33-5,향후 실천 의향은?,p33will
개인,Q34-1,자기계발을 위해 사용하는 시간은?,p34selfdevtime
개인,Q34-2,자기계발 방법은 무엇입니까?,p34selfdevway
개인,Q34-3,자기계발 목적은 무엇입니까?,p34selfdevgoal
개인,Q34-4,자기계발 만족도는?,p34selfdevsat
개인,Q34-5,자기계발 시 어려움은?,p34selfdevdiff
개인,Q35-1,사회문제 중 가장 관심 있는 분야는?,p35socialfocus
개인,Q35-2,사회문제 해결 참여 여부는?,p35socialact
개인,Q35-3,참여 방법은 무엇입니까?,p35socialhow
개인,Q35-4,참여 시 애로사항은?,p35socialdiff
개인,Q35-5,사회문제에 대한 해결 의지는?,p35socialwill
개인,Q36-1,자원봉사 경험이 있으십니까?,p36volunteer
개인,Q36-2,봉사 활동 분야는?,p36voltype
개인,Q36-3,활동 기간은 얼마입니까?,p36voldur
개인,Q36-4,봉사 참여 동기는?,p36volmot
개인,Q36-5,향후 자원봉사 계획은?,p36volplan
개인,Q37-1,정보보호에 대한 인식은?,p37infosecaware
개인,Q37-2,개인정보 유출 경험은?,p37infosecexp
개인,Q37-3,정보보호 실천 여부는?,p37infosecpractice
개인,Q37-4,정보보호 교육 경험은?,p37infosecedu
개인,Q37-5,정보보호 관련 정책 만족도는?,p37infosecsat
개인,Q38-1,1인 가구 여부는?,p38single
개인,Q38-2,1인 가구의 장점은?,p38singleadv
개인,Q38-3,1인 가구의 단점은?,p38singledis
개인,Q38-4,1인 가구 지원 정책 인지도는?,p38singlepolaware
개인,Q38-5,1인 가구 정책 만족도는?,p38singlepolsat
개인,Q39-1,청년 정책에 대한 인식은?,p39youthaware
개인,Q39-2,정책 이용 경험은?,p39youthuse
개인,Q39-3,정책 정보 획득 경로는?,p39youthinfo
개인,Q39-4,정책 개선 필요 사항은?,p39youthimprove
개인,Q39-5,정책 만족도는?,p39youthsat
개인,Q40-1,기초생활수급자 여부는?,p40basic
개인,Q40-2,기초생활보장 수급 경로는?,p40basicpath
개인,Q40-3,수급 만족도는?,p40basicsat
개인,Q40-4,기초생활보장 제도 개선 희망사항은?,p40basicimprove
개인,Q40-5,수급 제도에 대한 전반적 인식은?,p40basicaware
개인,Q41-1,고용지원정책 인지도는?,p41jobaware
개인,Q41-2,고용지원정책 이용 경험은?,p41jobuse
개인,Q41-3,정책 이용 경로는?,p41jobpath
개인,Q41-4,정책 만족도는?,p41jobsat
개인,Q41-5,정책 개선 필요사항은?,p41jobimprove
개인,Q42-1,복지서비스 이용 경험은?,p42welfareuse
개인,Q42-2,이용한 서비스 종류는?,p42welfareservice
개인,Q42-3,이용 만족도는?,p42welfaresat
개인,Q42-4,접근성에 대한 인식은?,p42welfareaccess
개인,Q42-5,복지정책 전반에 대한 의견은?,p42welfareopinion
개인,Q43-1,임금 또는 소득,p4311
개인,Q43-2,취업의 안정성,p4312
