구분,문항 번호,질문 내용,변수명
개인,Q6-1,가족 구성은 어떻게 되십니까?,p06famcomp
개인,Q6-2,가족 중 부양이 필요한 인원이 있습니까?,p06carefam
개인,Q6-3,가족의 경제활동 참여 여부는?,p06famwork
개인,Q6-4,가족 돌봄 시간은 얼마나 됩니까?,p06caretime
개인,Q6-5,가사 분담은 어떻게 이루어집니까?,p06housework
개인,Q6-6,자녀 교육비 지출은 얼마입니까?,p06eduexp
개인,Q6-7,부양 부담으로 인한 어려움은?,p06burden
개인,Q7-1,건강 상태는 어떠합니까?,p07health
개인,Q7-2,만성 질환이 있으십니까?,p07chronic
개인,Q7-3,최근 1년 내 병원 이용 여부는?,p07hospital
개인,Q7-4,의료비 지출은 얼마입니까?,p07medcost
개인,Q7-5,건강검진 수검 여부는?,p07checkup
개인,Q7-6,정신 건강 상태는?,p07mental
개인,Q7-7,스트레스 수준은?,p07stress
개인,Q8-1,주거 만족도는?,p08housing
개인,Q8-2,이사 계획이 있으십니까?,p08moveplan
개인,Q8-3,현재 주거형태는?,p08curhouse
개인,Q8-4,주거비 부담은?,p08housecost
개인,Q8-5,주택 보유 여부는?,p08houseown
개인,Q8-6,전세/월세 여부는?,p08lease
개인,Q9-1,사회적 관계 만족도는?,p09social
개인,Q9-2,가까운 친구 수는?,p09friends
개인,Q9-3,이웃과의 관계는?,p09neighbor
개인,Q9-4,지역사회 참여 여부는?,p09community
개인,Q9-5,종교 모임 참여 여부는?,p09religion
개인,Q9-6,여가 활동 참여 빈도는?,p09leisure
개인,Q9-7,여가 활동 종류는?,p09leisurelvl
개인,Q9-8,여가비 지출은?,p09leisurespend
개인,Q9-9,가장 선호하는 여가 활동은?,p09leisurefav
개인,Q9-10,여가 활동 개선 희망 사항은?,p09leisurewish
