구분,문항 번호,질문 내용,변수명
개인,Q10-1,최근 정치 참여 경험이 있습니까?,p10politics
개인,Q10-2,투표 참여 여부는?,p10vote
개인,Q10-3,정당 가입 여부는?,p10party
개인,Q10-4,시민단체 활동 여부는?,p10civic
개인,Q10-5,시사에 대한 관심도는?,p10interest
개인,Q11-1,인터넷 사용 빈도는?,p11netfreq
개인,Q11-2,주요 인터넷 이용 목적은?,p11netpurpose
개인,Q11-3,SNS 이용 여부는?,p11sns
개인,Q11-4,온라인 쇼핑 이용 여부는?,p11shopping
개인,Q11-5,인터넷 정보 신뢰도는?,p11trust
개인,Q12-1,삶에 대한 전반적인 만족도는?,p12lifesat
개인,Q12-2,미래에 대한 기대 수준은?,p12future
개인,Q12-3,개인의 삶에서 중요하게 생각하는 가치는?,p12value
개인,Q12-4,현재 생활에서 가장 어려운 점은?,p12difficulty
개인,Q12-5,정부 정책에 대한 만족도는?,p12govsat
개인,Q13-1,최근 1년간 범죄 피해 경험이 있습니까?,p13crime
개인,Q13-2,범죄에 대한 불안 수준은?,p13fear
개인,Q13-3,야간 외출 시 불안감은?,p13nightout
개인,Q13-4,경찰의 대응 만족도는?,p13police
개인,Q13-5,치안 서비스 개선이 필요하다고 생각하십니까?,p13improve
개인,Q14-1,기후변화에 대한 우려 수준은?,p14climate
개인,Q14-2,친환경 제품 사용 여부는?,p14eco
개인,Q14-3,재활용 실천 여부는?,p14recycle
개인,Q14-4,대중교통 이용 빈도는?,p14trans
개인,Q14-5,환경 보호 참여 활동은?,p14activity
개인,Q15-1,최근 1년간 이사 경험이 있습니까?,p15move
개인,Q15-2,이사 사유는 무엇입니까?,p15reason
개인,Q15-3,이사 후 만족도는?,p15satisfy
개인,Q15-4,현재 거주지 선택 이유는?,p15select
개인,Q15-5,향후 거주지 변경 계획은?,p15future
