구분,문항 번호,질문 내용,변수명
개인,Q189-1,디지털 금융서비스 접근성은?,p189finaccess
개인,Q189-2,이용 장애 요인은?,p189finbarrier
개인,Q189-3,개선 희망 사항은?,p189finimprove
개인,Q189-4,정부 정책 인식은?,p189fingov
개인,Q189-5,향후 활용 의향은?,p189finwill
개인,Q190-1,디지털 기술 불신 수준은?,p190techdistrust
개인,Q190-2,불신 원인은?,p190techwhy
개인,Q190-3,불신 해소 방법은?,p190techsolution
개인,Q190-4,정부 역할 인식은?,p190techgovrole
개인,Q190-5,기술 수용 태도 변화는?,p190techaccept
개인,Q191-1,디지털 격차 해소 정책 인식은?,p191gapaware
개인,Q191-2,정책 접촉 경험은?,p191gappolicyexp
개인,Q191-3,정책 만족도는?,p191gappolicysat
개인,Q191-4,지원 확대 필요성 인식은?,p191gapsupportneed
개인,Q191-5,정책 참여 의향은?,p191gappolicywill
개인,Q192-1,디지털 생활 만족도는?,p192digitallife
개인,Q192-2,생활 변화 체감도는?,p192lifechange
개인,Q192-3,가장 긍정적 변화는?,p192lifeplus
개인,Q192-4,가장 부정적 변화는?,p192lifeminus
개인,Q192-5,향후 디지털 환경 기대는?,p192lifefuture
개인,Q193-1,디지털 기술 전반 인식은?,p193techoverall
개인,Q193-2,긍정적 측면은?,p193techpos
개인,Q193-3,부정적 측면은?,p193techneg
개인,Q193-4,기술 수용 의향은?,p193techwill
개인,Q193-5,기술 관련 교육 필요성 인식은?,p193techedu
