구분,문항 번호,질문 내용,변수명
개인,Q1050-1,디지털 직무의 평가 피드백 빈도는?,p1050freq
개인,Q1050-2,피드백 신뢰도 인식은?,p1050trust
개인,Q1050-3,피드백 적용 경험은?,p1050apply
개인,Q1050-4,정부 피드백 제도 정책 인식은?,p1050govpolicy
개인,Q1050-5,향후 정책 기대는?,p1050govhope
개인,Q1051-1,디지털 직무의 리더십 스타일 인식은?,p1051style
개인,Q1051-2,선호하는 리더십 스타일은?,p1051prefer
개인,Q1051-3,문제적 리더십 경험은?,p1051problem
개인,Q1051-4,정부 리더십 개선 정책 인식은?,p1051govpolicy
개인,Q1051-5,향후 정책 기대는?,p1051govhope
개인,Q1052-1,디지털 직무의 적응력 평가 인식은?,p1052adapt
개인,Q1052-2,자기 적응 전략은?,p1052strategy
개인,Q1052-3,적응 어려움 경험은?,p1052difficulty
개인,Q1052-4,정부 적응 지원 정책 인식은?,p1052govpolicy
개인,Q1052-5,향후 정책 기대는?,p1052govhope
개인,Q1053-1,디지털 직무의 자율성 수준은?,p1053autonomy
개인,Q1053-2,자율성 증가 필요성은?,p1053increase
개인,Q1053-3,자율성 부작용 경험은?,p1053risk
개인,Q1053-4,정부 자율성 정책 인식은?,p1053govpolicy
개인,Q1053-5,향후 정책 기대는?,p1053govhope
