구분,문항 번호,질문 내용,변수명
개인,Q1086-1,디지털 직무의 동료 신뢰도는?,p1086trust
개인,Q1086-2,신뢰 저해 요인은?,p1086barrier
개인,Q1086-3,신뢰 회복 방안은?,p1086solution
개인,Q1086-4,정부 신뢰 정책 인식은?,p1086govpolicy
개인,Q1086-5,향후 정책 기대는?,p1086govhope
개인,Q1087-1,디지털 직무의 보상 만족도는?,p1087reward
개인,Q1087-2,보상 부족 원인은?,p1087barrier
개인,Q1087-3,보상 개선 제안은?,p1087solution
개인,Q1087-4,정부 보상 정책 인식은?,p1087govpolicy
개인,Q1087-5,향후 정책 기대는?,p1087govhope
개인,Q1088-1,디지털 직무의 공공성과 자부심은?,p1088pride
개인,Q1088-2,자부심 저하 원인은?,p1088barrier
개인,Q1088-3,자부심 제고 방안은?,p1088solution
개인,Q1088-4,정부 공공성 정책 인식은?,p1088govpolicy
개인,Q1088-5,향후 정책 기대는?,p1088govhope
개인,Q1089-1,디지털 직무의 개인 성장 기회는?,p1089growth
개인,Q1089-2,성장 제약 요인은?,p1089barrier
개인,Q1089-3,성장 촉진 방안은?,p1089solution
개인,Q1089-4,정부 성장 정책 인식은?,p1089govpolicy
개인,Q1089-5,향후 정책 기대는?,p1089govhope
